1702594777.938667,3
1702594778.041840,8
1702594778.144714,9
1702594778.247270,9
1702594778.349765,9
1702594778.452327,10
1702594778.554787,10
1702594778.657178,12
1702594778.759392,12
1702594778.862881,12
1702594778.966913,13
1702594779.069557,18
1702594779.171825,16
1702594779.274192,16
1702594779.376412,17
1702594779.480291,19
1702594779.582702,18
1702594779.685465,19
1702594779.790332,19
1702594779.892782,20
1702594779.995077,20
1702594780.097104,20
1702594780.199136,10
1702594780.301535,8
1702594780.403687,9
1702594780.505671,9
1702594780.607637,10
1702594780.709618,11
1702594780.814169,12
1702594780.916576,13
1702594781.018537,14
1702594781.120639,14
1702594781.222699,15
1702594781.324793,15
1702594781.426896,16
1702594781.528843,15
1702594781.632203,16
1702594781.734404,17
1702594781.839204,17
1702594781.941595,16
1702594782.043564,16
1702594782.145668,17
1702594782.247833,18
1702594782.349957,17
1702594782.452163,16
1702594782.554263,17
1702594782.656350,18
1702594782.758619,16
1702594782.862481,17
1702594782.964935,17
1702594783.066997,19
1702594783.168952,18
1702594783.271262,17
1702594783.373686,18
1702594783.475875,18
1702594783.577987,20
1702594783.680533,19
1702594783.786906,20
1702594783.889048,20
1702594783.991137,16
1702594784.093391,17
1702594784.195406,12
1702594784.297506,13
1702594784.399576,11
1702594784.501670,11
1702594784.603857,17
1702594784.706511,14
1702594784.812346,16
1702594784.915131,15
1702594785.017128,16
1702594785.119123,15
1702594785.221195,15
1702594785.323464,15
1702594785.425824,15
1702594785.527992,14
1702594785.630553,13
1702594785.732789,13
1702594785.838309,13
1702594785.940375,13
1702594786.042525,9
1702594786.145494,7
1702594786.247704,5
1702594786.351071,6
1702594786.453234,5
1702594786.555467,6
1702594786.657583,6
1702594786.759683,6
1702594786.864473,6
1702594786.966929,5
1702594787.069581,5
1702594787.171923,6
1702594787.275058,5
1702594787.377463,5
1702594787.479538,5
1702594787.582259,4
1702594787.684951,5
1702594787.790128,6
1702594787.892878,5
1702594787.995777,3
1702594788.098064,3
1702594788.200196,4
1702594788.302815,4
1702594788.405152,7
1702594788.507485,8
1702594788.609491,9
1702594788.711626,12
